,date_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude_appart,latitude_appart,Nom_commune,Code_postal,chef_lieu,longitude_cl,latitude_cl,distance
2224,10/06/2021,137000.0,48,2,-0.582849,47.473058,angers,49000,angers,-0.556221025,47.47665708,2.046701183858438
2225,30/06/2021,645000.0,80,3,-0.587551,47.473814,angers,49000,angers,-0.556221025,47.47665708,2.382681920831533
2226,01/07/2021,95000.0,30,1,-0.569333,47.48345,angers,49100,angers,-0.556221025,47.47665708,1.243815232004651
2227,30/06/2021,140000.0,46,2,-0.567102,47.477781,angers,49100,angers,-0.556221025,47.47665708,0.829630476949166
2228,15/06/2021,195000.0,66,3,-0.567563,47.478217,angers,49100,angers,-0.556221025,47.47665708,0.8723252646346041
2229,09/07/2021,147000.0,46,2,-0.614724,47.460405,angers,49000,angers,-0.556221025,47.47665708,4.766238546300519
2230,01/07/2021,85000.0,40,1,-0.564531,47.475163,angers,49100,angers,-0.556221025,47.47665708,0.6480408982114131
2231,09/07/2021,190000.0,59,2,-0.575475,47.494345,angers,49100,angers,-0.556221025,47.47665708,2.4439506467783314
2232,08/07/2021,234000.0,66,3,-0.561465,47.490577,angers,49100,angers,-0.556221025,47.47665708,1.5972883411174066
2233,22/06/2021,65000.0,51,2,-0.564767,47.477963,angers,49100,angers,-0.556221025,47.47665708,0.6603218940747421
2234,25/06/2021,240000.0,66,3,-0.568026,47.481315,angers,49100,angers,-0.556221025,47.47665708,1.0295158168331366
2235,24/06/2021,257000.0,67,3,-0.566638,47.470971,angers,49100,angers,-0.556221025,47.47665708,1.0080949441396234
2236,29/06/2021,178000.0,98,4,-0.596371,47.467099,angers,49000,angers,-0.556221025,47.47665708,3.207790049459257
2237,29/06/2021,151000.0,84,4,-0.562066,47.485246,angers,49100,angers,-0.556221025,47.47665708,1.0516388799638285
2238,22/06/2021,181815.0,48,2,-0.577492,47.479528,angers,49100,angers,-0.556221025,47.47665708,1.6347615514824336
2239,09/07/2021,174000.0,43,2,-0.566649,47.476818,angers,49100,angers,-0.556221025,47.47665708,0.7862314083238002
2240,16/07/2021,230000.0,82,4,-0.564531,47.475163,angers,49100,angers,-0.556221025,47.47665708,0.6480408982114131
2241,16/07/2021,379800.0,40,3,-0.571762,47.473852,angers,49100,angers,-0.556221025,47.47665708,1.2122651887604263
2242,19/07/2021,187500.0,59,3,-0.596107,47.473532,angers,49000,angers,-0.556221025,47.47665708,3.026581815732951
2243,16/07/2021,212329.0,73,3,-0.570687,47.474965,angers,49100,angers,-0.556221025,47.47665708,1.1065279695397905
2244,25/06/2021,200000.0,60,3,-0.560769,47.48081,angers,49100,angers,-0.556221025,47.47665708,0.5750640900655138
2245,06/07/2021,142000.0,60,3,-0.579388,47.472968,angers,49000,angers,-0.556221025,47.47665708,1.7938362743827796
2246,19/07/2021,300000.0,96,4,-0.560437,47.473379,angers,49100,angers,-0.556221025,47.47665708,0.48355371112036655
2247,19/07/2021,130000.0,68,4,-0.584552,47.471584,angers,49000,angers,-0.556221025,47.47665708,2.2088312068400313
2248,02/07/2021,124000.0,31,2,-0.585481,47.473887,angers,49000,angers,-0.556221025,47.47665708,2.226984308894146
2249,28/06/2021,249000.0,70,2,-0.560218,47.474632,angers,49100,angers,-0.556221025,47.47665708,0.3761182212673734
2250,19/07/2021,245000.0,67,3,-0.560639,47.490556,angers,49100,angers,-0.556221025,47.47665708,1.5807518949673116
2251,19/07/2021,145000.0,53,2,-0.555553,47.494477,angers,49100,angers,-0.556221025,47.47665708,1.9818637478606398
2252,11/06/2021,200000.0,88,4,-0.598072,47.475773,angers,49000,angers,-0.556221025,47.47665708,3.1561564820649886
2253,09/07/2021,191000.0,65,3,-0.567102,47.477781,angers,49100,angers,-0.556221025,47.47665708,0.829630476949166
2254,13/07/2021,113420.0,38,2,-0.568836,47.47352,angers,49100,angers,-0.556221025,47.47665708,1.0128532451281271
2255,08/07/2021,130000.0,42,2,-0.567305,47.48624,angers,49100,angers,-0.556221025,47.47665708,1.3538971272832343
2256,21/07/2021,74000.0,39,1,-0.565415,47.488488,angers,49100,angers,-0.556221025,47.47665708,1.486722743258655
2257,09/07/2021,230000.0,90,4,-0.604088,47.466514,angers,49000,angers,-0.556221025,47.47665708,3.78052600225839
2258,19/07/2021,108000.0,59,2,-0.562066,47.485246,angers,49100,angers,-0.556221025,47.47665708,1.0516388799638285
2259,05/07/2021,1248150.0,29,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2260,05/07/2021,1248150.0,30,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2261,05/07/2021,1248150.0,36,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2262,05/07/2021,1248150.0,25,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2263,05/07/2021,1248150.0,27,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2264,05/07/2021,1248150.0,30,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2265,05/07/2021,1248150.0,25,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2266,05/07/2021,1248150.0,36,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2267,05/07/2021,1248150.0,36,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2268,05/07/2021,1248150.0,36,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2269,05/07/2021,1248150.0,27,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2270,05/07/2021,1248150.0,29,1,-0.563267,47.478017,angers,49100,angers,-0.556221025,47.47665708,0.5521997883382525
2271,20/07/2021,150000.0,55,3,-0.579388,47.472968,angers,49000,angers,-0.556221025,47.47665708,1.7938362743827796
2272,29/07/2021,211000.0,79,3,-0.562845,47.47637,angers,49100,angers,-0.556221025,47.47665708,0.5003155655367723
2273,09/07/2021,180000.0,51,2,-0.571126,47.472845,angers,49100,angers,-0.556221025,47.47665708,1.2008140891453154
2274,08/07/2021,430000.0,153,6,-0.564397,47.477518,angers,49100,angers,-0.556221025,47.47665708,0.623663979882931
2275,27/07/2021,125000.0,53,3,-0.56872,47.474097,angers,49100,angers,-0.556221025,47.47665708,0.9842129468340903
2276,02/07/2021,109500.0,41,1,-0.563343,47.485353,angers,49100,angers,-0.556221025,47.47665708,1.1058353286328697
2277,15/07/2021,180000.0,71,3,-0.615476,47.461679,angers,49000,angers,-0.556221025,47.47665708,4.767392365528186
2278,15/07/2021,164000.0,71,3,-0.596371,47.467099,angers,49000,angers,-0.556221025,47.47665708,3.207790049459257
2279,22/07/2021,132600.0,36,3,-0.563668,47.477588,angers,49100,angers,-0.556221025,47.47665708,0.5707874977836783
2280,29/07/2021,131000.0,46,2,-0.566457,47.470623,angers,49100,angers,-0.556221025,47.47665708,1.0224644985166347
2281,19/07/2021,170010.0,58,3,-0.584003,47.473276,angers,49000,angers,-0.556221025,47.47665708,2.127658416648139
2282,22/07/2021,210190.0,88,5,-0.568211,47.480979,angers,49100,angers,-0.556221025,47.47665708,1.0235335475709675
2283,21/07/2021,101000.0,27,1,-0.581933,47.473356,angers,49000,angers,-0.556221025,47.47665708,1.9725945631047532
2284,27/07/2021,78000.0,26,1,-0.566457,47.470623,angers,49100,angers,-0.556221025,47.47665708,1.0224644985166347
2285,21/07/2021,180000.0,53,2,-0.566649,47.476818,angers,49100,angers,-0.556221025,47.47665708,0.7862314083238002
2286,20/07/2021,246000.0,77,4,-0.560639,47.490556,angers,49100,angers,-0.556221025,47.47665708,1.5807518949673116
2287,29/07/2021,149500.0,62,3,-0.564455,47.483699,angers,49100,angers,-0.556221025,47.47665708,0.9990617659822325
2288,23/07/2021,270142.0,86,4,-0.564531,47.475163,angers,49100,angers,-0.556221025,47.47665708,0.6480408982114131
2289,27/07/2021,264000.0,93,4,-0.589689,47.47335,angers,49000,angers,-0.556221025,47.47665708,2.549446088432366
2290,29/07/2021,262500.0,91,4,-0.565227,47.474142,angers,49100,angers,-0.556221025,47.47665708,0.7341941019130428
2291,29/07/2021,130000.0,46,2,-0.569535,47.47442,angers,49100,angers,-0.556221025,47.47665708,1.0339489106563862
2292,29/07/2021,175000.0,65,4,-0.579388,47.472968,angers,49000,angers,-0.556221025,47.47665708,1.7938362743827796
