code_commune,annee_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
7,2020,1600000,Angers,26,1,742,-0.549007,47.472261
7,2020,183000,Angers,20,1,407,-0.526988,47.47683
7,2020,183000,Angers,20,1,407,-0.526988,47.47683
7,2020,183000,Angers,50,3,407,-0.526988,47.47683
7,2020,375000,Angers,59,4,211,-0.536818,47.465708
7,2020,375000,Angers,61,3,211,-0.536818,47.465708
7,2020,456120,Angers,37,1,253,-0.550956,47.469428
7,2020,456120,Angers,30,1,253,-0.550956,47.469428
7,2020,456120,Angers,25,1,253,-0.550956,47.469428
7,2020,456120,Angers,60,3,253,-0.550956,47.469428
7,2020,456120,Angers,30,1,253,-0.550956,47.469428
7,2020,456120,Angers,55,2,253,-0.550956,47.469428
7,2020,456120,Angers,25,1,253,-0.550956,47.469428
7,2020,1180000,Angers,28,1,474,-0.55698,47.469526
7,2020,1180000,Angers,68,3,474,-0.55698,47.469526
7,2020,1180000,Angers,64,3,474,-0.55698,47.469526
7,2020,1180000,Angers,52,3,474,-0.55698,47.469526
7,2020,1180000,Angers,67,2,474,-0.55698,47.469526
7,2020,1180000,Angers,59,3,474,-0.55698,47.469526
7,2020,1180000,Angers,38,1,474,-0.55698,47.469526
7,2020,1180000,Angers,67,2,474,-0.55698,47.469526
7,2020,1180000,Angers,39,2,474,-0.55698,47.469526
7,2020,1180000,Angers,48,2,474,-0.55698,47.469526
7,2020,465000,Angers,17,1,75,-0.554362,47.473708
7,2020,465000,Angers,17,1,75,-0.554362,47.473708
7,2020,465000,Angers,17,1,75,-0.554362,47.473708
7,2020,465000,Angers,25,1,75,-0.554362,47.473708
7,2020,465000,Angers,17,1,75,-0.554362,47.473708
7,2020,465000,Angers,25,1,75,-0.554362,47.473708
7,2020,465000,Angers,17,1,75,-0.554362,47.473708
7,2020,465000,Angers,17,1,75,-0.554362,47.473708
7,2020,155000,Angers,60,4,93,-0.563841,47.454491
7,2020,428490,Angers,77,3,187,-0.552195,47.472172
7,2020,500000,Angers,65,2,144,-0.547945,47.477395
7,2020,500000,Angers,15,1,144,-0.547945,47.477395
7,2020,500000,Angers,66,2,144,-0.547945,47.477395
7,2020,500000,Angers,13,1,144,-0.547945,47.477395
7,2020,1150000,Angers,91,4,332,-0.553317,47.473276
7,2020,1150000,Angers,132,5,332,-0.553317,47.473276
7,2020,1150000,Angers,89,4,332,-0.553317,47.473276
7,2020,316635,Angers,53,3,63,-0.543458,47.47176
7,2020,244600,Angers,64,3,240,-0.524189,47.459507
7,2020,244600,Angers,31,2,240,-0.524189,47.459507
7,2020,244600,Angers,28,2,240,-0.524189,47.459507
7,2020,295000,Angers,45,2,207,-0.540168,47.482366
7,2020,295000,Angers,45,2,207,-0.540168,47.482366
7,2020,295000,Angers,42,2,207,-0.540168,47.482366
7,2020,1800000,Angers,95,5,657,-0.5472,47.466549
7,2020,246000,Angers,42,3,96,-0.536465,47.481357
7,2020,246000,Angers,44,3,96,-0.536465,47.481357
7,2020,246000,Angers,37,3,96,-0.536465,47.481357
7,2020,390000,Angers,34,2,218,-0.52358,47.457102
7,2020,215000,Angers,20,1,110,-0.550667,47.466177
7,2020,215000,Angers,29,2,110,-0.550667,47.466177
7,2020,455000,Angers,149,5,430,-0.523626,47.480353
7,2020,455000,Angers,30,1,430,-0.523626,47.480353
7,2020,455000,Angers,40,1,430,-0.523626,47.480353
7,2020,180000,Angers,61,2,324,-0.536372,47.455009
7,2020,180000,Angers,90,4,324,-0.536372,47.455009
7,2020,3184440,Angers,40,2,157,-0.553165,47.47684
7,2020,3184440,Angers,40,2,214,-0.553165,47.47684
7,2020,3184440,Angers,28,2,1109,-0.553165,47.47684
7,2020,3184440,Angers,10,1,214,-0.553165,47.47684
7,2020,3184440,Angers,40,1,82,-0.553165,47.47684
7,2020,3184440,Angers,40,2,214,-0.553165,47.47684
7,2020,3184440,Angers,40,2,93,-0.553165,47.47684
7,2020,3184440,Angers,10,1,93,-0.553165,47.47684
7,2020,3184440,Angers,10,1,152,-0.553165,47.47684
7,2020,3184440,Angers,28,2,157,-0.553165,47.47684
7,2020,3184440,Angers,40,2,82,-0.553165,47.47684
7,2020,3184440,Angers,40,1,152,-0.553165,47.47684
7,2020,3184440,Angers,40,2,93,-0.553165,47.47684
7,2020,3184440,Angers,10,1,69,-0.553165,47.47684
7,2020,3184440,Angers,40,1,93,-0.553165,47.47684
7,2020,3184440,Angers,40,2,69,-0.553165,47.47684
7,2020,3184440,Angers,28,2,214,-0.553165,47.47684
7,2020,3184440,Angers,40,2,157,-0.553165,47.47684
7,2020,3184440,Angers,40,2,295,-0.553165,47.47684
7,2020,3184440,Angers,28,2,295,-0.553165,47.47684
7,2020,3184440,Angers,10,1,157,-0.553165,47.47684
7,2020,3184440,Angers,28,2,69,-0.553165,47.47684
7,2020,3184440,Angers,40,2,108,-0.553165,47.47684
7,2020,3184440,Angers,28,2,178,-0.553165,47.47684
7,2020,3184440,Angers,40,1,295,-0.553165,47.47684
7,2020,3184440,Angers,28,2,152,-0.553165,47.47684
7,2020,3184440,Angers,40,1,69,-0.553165,47.47684
7,2020,3184440,Angers,10,1,178,-0.553165,47.47684
7,2020,3184440,Angers,28,2,93,-0.553165,47.47684
7,2020,3184440,Angers,10,1,108,-0.553165,47.47684
7,2020,3184440,Angers,40,1,214,-0.553165,47.47684
7,2020,3184440,Angers,10,1,1109,-0.553165,47.47684
7,2020,3184440,Angers,40,2,152,-0.553165,47.47684
7,2020,3184440,Angers,40,2,178,-0.553165,47.47684
7,2020,3184440,Angers,40,2,69,-0.553165,47.47684
7,2020,3184440,Angers,40,2,152,-0.553165,47.47684
7,2020,3184440,Angers,40,2,1109,-0.553165,47.47684
